ID,種別,報告者,優先度,端末,OS,ブラウザ,ページURL,概要,詳細,ステータス,対応者,対応完了,コメント,調査結果,いちろう返答,対応ブランチ,対応Phase,テストファイル予定,実装内容,前提条件
39,,,,,,,,経験の入力方法を改善したい,3施設での経験がある場合の入力方法が分かりにくい,要ヒアリング,,FALSE,,,UIが複雑になりそう、資格書写真必須で対応,キャリア側と相談,improve/ux-enhancements,要ヒアリング,-,仕様確認後に実装計画策定,仕様ヒアリング
9,提案,伊藤,普,iPhone 16e,iOS18.4,Google Chrome,https://s-work.netlify.app/jobs/243,求人詳細ページ、責任者のコンテンツから下、余白がなく左に寄りすぎ,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,余白調整・レイアウト修正,なし
27,提案,伊藤,普,windowsPC,,Google Chrome,https://s-work.netlify.app/admin/jobs,施設管理画面で、ログインアカウント名は出るが、施設名や法人名もヘッダー等に表示してほしい,複数施設を管理される担当者様もいる,,,FALSE,,,,improve/ux-enhancements,Phase 4,header-display.spec.ts,ヘッダーに施設名・法人名表示追加,なし
45,提案,伊藤,普,iPhone 16e,iOS18.4,Google Chrome,,ワーカー：新しいパスワードを設定で、古いパスワードと同じものを設定しようとすると「無効なトークンです」と表示されます,過去パスワード再設定NGならそのメッセージ表示希望,,,FALSE,,,,fix/password-validation,Phase 4,password-validation.spec.ts,エラーメッセージ改善,なし
48,提案,伊藤,普,windowsPC,,Google Chrome,,施設管理画面、テンプレート作成で、勤務時間の入力で、実働時間を自動計算して表示してほしい,,,,FALSE,,,,feature/auto-calculation,Phase 4,auto-calculation.spec.ts,実働時間自動計算・休憩時間考慮,なし
62,提案,伊藤,普,iPhone 16e,iOS18.4,Google Chrome,,ダイレクトに求人詳細ページから流入した場合、TOPページやその他コンテンツへ遷移できない,TOPリンクかメニューを画面下部に固定,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,グローバルナビゲーション追加,なし
65,提案,伊藤,普,iPhone 16e,iOS18.4,Google Chrome,,求人が2列で表示されてますが、どのサイトもアプリも1列が一般的なのでユーザーも１列の方が見やすいと思います,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,求人一覧1列表示対応,なし
16,提案,水野,普,iPhone SE,iOS17.6.1,Google Chrome,https://s-work.netlify.app/my-jobs,交通費が0円の時に画面いっぱいに表示されているので、金額が入ったときの見え方を確認したい,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,交通費表示の改善,なし
28,提案,水野,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/jobs/new,業務設定と仕事詳細のテンプレがリンクすると求人の作成がしやすい,,,,FALSE,,,,feature/template-link,Phase 4,template-link.spec.ts,テンプレート連携機能,なし
36,提案,水野,普,windowsPC,11Pro,Google Chrome,,求人プレビューページが全体的に左に寄っている,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,プレビューページレイアウト修正,なし
61,提案,水野,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/messages,不採用通知,マッチングの場合はメッセージが来るが不採用の場合は来ないのが不親切,,,FALSE,,,,feature/notifications,Phase 2,notifications.spec.ts,不採用通知機能追加,通知機能実装後
63,提案,水野,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/applications,審査あり求人への応募者の採用に関して,マッチング時は確認ポップアップがなく即マッチング,,,FALSE,,,,improve/ux-enhancements,Phase 4,matching-confirm.spec.ts,マッチング確認ダイアログ追加,なし
7,提案,大東,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/jobs/new,施設管理　給与　時給が1200がコンマがない1,200に変更？,,,,FALSE,,,,improve/ux-enhancements,Phase 4,ux-improvements.spec.ts,金額フォーマット共通化（3桁区切り）,なし
32,提案,大東,普,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/register/worker,経験を複数入れる際に、追加＋のようなボタンがあれば分かりやすい,,,,FALSE,,,,improve/ux-enhancements,Phase 4,experience-input.spec.ts,経験追加ボタンUI改善,なし
42,提案,大東,普,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/mypage/profile?returnUrl=%2Fjobs%2F244,希望開始時刻、希望終了時刻が不要？,入れるなら希望シフト（日勤のみ、夜勤のみ、フル勤務）,,,FALSE,,,,improve/ux-enhancements,Phase 4,-,仕様検討必要,仕様決定
47,提案,大東,普,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/mypage/profile?returnUrl=%2Fjobs%2F244,緊急連絡先は必須にしない,,,,FALSE,,,,improve/ux-enhancements,Phase 4,form-validation.spec.ts,緊急連絡先任意化,なし
57,提案,大東,普,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/mypage/profile?returnUrl=%2Fjobs%2F244,応募完了後、メッセージ画面から、お仕事詳細ページにとぶURLは、同じタブ上で進めたい,,,,FALSE,,,,improve/ux-enhancements,Phase 4,link-behavior.spec.ts,リンク挙動修正（target属性）,なし
29,提案,鈴木,普,windowsPC,,Google Chrome,https://s-work.netlify.app/admin/shifts,,休憩時間が入力されていません,,,FALSE,,,,fix/shift-validation,Phase 4,shift-validation.spec.ts,休憩時間入力バリデーション追加,なし
43,バグ,伊藤,普,iPhone 16e,iOS18.4,Google Chrome,,パスワードリセットのメールが送信されない,受信を確認できませんでした,後日対応,,FALSE,,メールソフトの設定で解消見込み,,fix/password-reset,Phase 4,password-reset.spec.ts,パスワードリセットメール確認,メール設定確認
49,バグ,竹上,,,,,システム管理から求人作成をしようとすると、求人の公開ボタンを押した後に作成ができない,,対応・未チェック,川嶋,TRUE,,コンソールエラー確認・SWRキャッシュクリア対応,JobForm.tsxで対応済み,fix/job-creation,Phase 1,job-creation.spec.ts,SWRキャッシュクリア・ページ遷移改善,なし
66,その他,安庭,普,,,,,プロフィールの登録時、ローディングの表示が必要,ローディングの長い待ち時間がある,対応・未チェック,川嶋,FALSE,,,スケルトンUI導入・速度アップ施策,承知しました,improve/performance,Phase 4,loading-indicator.spec.ts,スケルトンUI追加・ローディング表示,なし
24,提案,安庭,低,windowsPC,11Pro,Google Chrome,,施設の登録画面で施設管理者のPW変更が6桁以上と表示,初期登録は8桁以上,,,FALSE,,,,fix/password-validation,バックログ,password-validation.spec.ts,パスワード要件統一（8桁以上）,なし
12,提案,水野,低,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/jobs,公開中や停止中のタブの色を求人とそろえた方が見やすい,,,,FALSE,,,,improve/ux-enhancements,バックログ,tab-colors.spec.ts,タブ色統一,なし
59,提案,伊藤,低,iPhone 16e,,Google Chrome,,マイページのプロフィールについて、変更頻度が低い基本情報（個人情報、資格情報）と、働き方やシフト希望などの項目は分けたほうがよいかと思います,,,,FALSE,,,,improve/ux-enhancements,バックログ,profile-sections.spec.ts,プロフィール項目分離,なし
13,提案,一郎,低,android pixsel9pro,android,Google Chrome,netlify.app/mypage/profile,プロフィールの希望開始時刻（特になし）をデフォルトにしたい,,,,FALSE,,,,improve/ux-enhancements,バックログ,default-values.spec.ts,希望時刻デフォルト値設定,なし
56,提案,竹上,,,,,ワーカーのプロフィール登録で通帳コピーは不要では？銀行や支店名は選択されるようになっていてほしい,,,,FALSE,,,,improve/ux-enhancements,バックログ,bank-selection.spec.ts,通帳コピー任意化・銀行選択UI,なし
8,提案,竹上,,,,,「限定」「指名」の工事中のページから、ページ内の戻る矢印を押すとマイページに戻る,,,,FALSE,,,,fix/navigation,バックログ,navigation.spec.ts,戻るボタン挙動修正,なし
11,提案,竹上,,,,,求人一覧画面で出てくる「締切りまで締切済み」の意味がわからない,,,,FALSE,,,,fix/wording,バックログ,wording.spec.ts,表示文言修正,なし
15,提案,竹上,,,,,求人の勤務時間設定時に、6時間を超える勤務の場合は45分、8時間を超える勤務の場合は1時間の休憩を必須にする,,,,FALSE,,,,feature/break-time-validation,バックログ,break-time.spec.ts,休憩時間自動設定・バリデーション,なし
33,提案,竹上,,,,,,求人の時給を入力し直したときに0が頭に残る,,,FALSE,,,,fix/input-handling,バックログ,input-handling.spec.ts,時給入力フィールド修正,なし
37,提案,竹上,,,,,求人ページの、仕事内容（複数選択）のところが、看護を想定した選択肢になっていない？,,,,FALSE,,,,fix/job-content-options,バックログ,job-content.spec.ts,仕事内容選択肢見直し,なし
46,提案,竹上,,,,,求人のコピー機能,,,,FALSE,,,,feature/job-copy,バックログ,job-copy.spec.ts,求人コピー機能追加,なし
52,提案,竹上,,,,,新規ワーカー登録で、必須項目に入力していないと登録ができないが何もエラーメッセージが出てこない,,,,,,,,form-validation-fixes.spec.ts,#30と重複,実装済み,なし
50,バグ,大東,緊急,iPhone 16e,ios26.2,Google Chrome,https://s-work.netlify.app/mypage/profile?returnUrl=%2Fjobs%2F244,応募に進み、個人情報を入れたが、エラーも出ず、登録も出来ない,,再現できず,,FALSE,,,ワーカーログイン画面から確認必要,,調査継続,-,アカウント情報確認後に調査,アカウント情報共有
55,バグ,水野,普,windowsPC,11Pro,Google Chrome,https://s-work.netlify.app/admin/jobs/244/edit,審査してからマッチングが機能しないときがあったかも,何回か試したらできた,再現できず,,FALSE,,,,調査継続,-,再現手順確認後に対応,再現手順確定
31,バグ,竹上,,,,,,求人を公開するボタンを押したが、「保存に失敗しました」となる,,再現できず,,FALSE,,7MB画像アップロードでエラー,画像アップロードエラー時に理由通知するよう修正,upload-fixes.spec.ts,アップロードエラー時に理由が表示される,実装済み
73,バグ,竹上,,iPhone SE,iOS18.4,Google Chrome,,ワーカーの新規登録で、名前のフリガナを打とうとすると、打っていない文字が勝手に入力される,,,,FALSE,,,,fix/input-handling,バックログ,input-handling.spec.ts,フリガナ入力挙動調査・修正,iOS Safari確認
